module,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
PGa_SERa,PHGDH_a,PSAT1_a,PSPH_a,,,,,,,,,,,,,,,
PGg_SERg,PHGDH_g,PSAT1_g,PSPH_g,,,,,,,,,,,,,,,
PGn_SERn,PHGDH_n,PSAT1_n,PSPH_n,,,,,,,,,,,,,,,
SERa_SERs,SLC1A4_a,SLC1A5_a,SLC3A2_a,SLC6A9_a,SLC6A14_a,SLC7A8_a,SLC7A10_a,SLC12A4_a,SLC25A1_a,SLC25A15_a,SLC25A28_a,SLC36A1_a,SLC38A1_a,SLC38A2_a,SLC38A4_a,SLC38A5_a,SLC38A7_a,
SERs_SERg,SLC1A4_g,SLC1A5_g,SLC3A2_g,SLC6A9_g,SLC6A14_g,SLC7A8_g,SLC7A10_g,SLC12A4_g,SLC25A1_g,SLC25A15_g,SLC25A28_g,SLC36A1_g,SLC38A1_g,SLC38A2_g,SLC38A4_g,SLC38A5_g,SLC38A7_g,
SERs_SERn,SLC1A4_n,SLC1A5_n,SLC3A2_n,SLC6A9_n,SLC6A14_n,SLC7A8_n,SLC7A10_n,SLC12A4_n,SLC25A1_n,SLC25A15_n,SLC25A28_n,SLC36A1_n,SLC38A1_n,SLC38A2_n,SLC38A4_n,SLC38A5_n,SLC38A7_n,
SERa_SERaout,SDS_a,SDSL_a,SRR_a,CBS_a,SPTLC1_a,SPTLC2_a,SPTLC3_a,SARS_a,SARS2_a,PTDSS1_a,PTDSS2_a,,,,,,,
SERg_SERgout,SDS_g,SDSL_g,SRR_g,CBS_g,SPTLC1_g,SPTLC2_g,SPTLC3_g,SARS_g,SARS2_g,PTDSS1_g,PTDSS2_g,,,,,,,
SERn_SERnout,SDS_n,SDSL_n,SRR_n,CBS_n,SPTLC1_n,SPTLC2_n,SPTLC3_n,SARS_n,SARS2_n,PTDSS1_n,PTDSS2_n,,,,,,,
SERa_GLYa,SHMT1_a,SHMT2_a,,,,,,,,,,,,,,,,
SERg_GLYg,SHMT1_g,SHMT2_g,,,,,,,,,,,,,,,,
SERn_GLYn,SHMT1_n,SHMT2_n,,,,,,,,,,,,,,,,
